,Unnamed: 0,acousticness,artist_name,danceability,duration_ms,energy,Month,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_id,track_name,valence
380,30,0.00889,Taylor Swift,0.897,173387,0.366,8,0.000353,0,0.0715,-8.029,1,31,0.0569,13448582,100.003,4,2YWtcWi3a83pdEg3Gif4Pd,I Think He Knows,0.416
381,31,0.0404,MEDUZA,0.677,152913,0.744,8,0.00016,10,0.074,-6.806,0,32,0.0295,13383077,124.08,4,1DFD5Fotzgn6yYXkYsKiGs,Piece Of Your Heart,0.631
382,32,0.033,Taylor Swift,0.61,193000,0.83,8,0,0,0.118,-4.105,1,33,0.0571,13179016,182.162,4,2Rk4JlNc2TPmZe2af99d45,ME! (feat. Brendon Urie of Panic! At The Disco),0.728
383,33,0.327,Lunay,0.795,266192,0.755,8,0,5,0.464,-4.788,1,34,0.0454,13058728,92.02,4,2qMnZF5Ja2WvmfbblByQza,Soltera (Remix),0.816
384,34,0.781,Taylor Swift,0.824,287267,0.624,8,0.000189,0,0.1,-9.728,1,35,0.0827,12625774,102.012,4,12M5uqx0ZuwkpLp5rJim1a,Cornelia Street,0.248
385,35,0.12,Taylor Swift,0.292,211240,0.574,8,0.00569,0,0.0663,-9.375,1,36,0.0401,12605882,124.344,4,3pHkh7d0lzM2AldUtz2x37,The Archer,0.166
386,36,0.0246,Taylor Swift,0.695,190240,0.71,8,0.000104,1,0.133,-6.639,1,37,0.05,12433654,157.925,4,1LLXZFeAHK9R4xUramtUKw,London Boy,0.557
387,37,0.12,The Chainsmokers,0.294,209893,0.505,8,0,3,0.0977,-8.106,1,38,0.042,11800743,85.332,1,6wo37KVqFJhtuxPTpLCcfe,Takeaway (feat. Lennon Stella),0.357
388,38,0.342,Lil Nas X,0.703,114893,0.594,8,0,5,0.123,-6.146,0,39,0.0752,11724243,153.848,4,6fTt0CH2t0mdeB2N9XFG5r,Panini,0.475
389,39,0.374,Ali Gatie,0.732,212607,0.463,8,0,11,0.194,-6.972,0,40,0.0287,11624948,95.971,4,6moU77g9RQyMzHNuKEaQKq,It's You,0.397
390,40,0.482,Lauv,0.806,198973,0.558,8,0,9,0.0618,-6.46,1,41,0.0683,11482215,95.016,4,322tcqPhma7F6hfCeLisx0,"fuck, i'm lonely",0.678
391,41,0.454,Taylor Swift,0.712,198533,0.732,8,0,4,0.319,-6.754,1,42,0.0629,11318503,94.071,4,2dgFqt3w9xIQRjhPtwNk3D,Death By A Thousand Cuts,0.313
392,42,0.273,Camilo,0.731,178613,0.832,8,0,9,0.0665,-2.592,1,43,0.0503,11208082,146.013,4,1nocRtwyNPVtGcIJqfgdzZ,Tutu,0.94
393,43,0.0154,Kygo,0.693,228267,0.678,8,6.05E-06,8,0.101,-7.159,1,44,0.0324,11169148,103.952,4,6oJ6le65B3SEqPwMRNXWjY,Higher Love,0.404
394,44,0.0275,J Balvin,0.639,222347,0.791,8,0,10,0.362,-4.443,0,45,0.253,11162214,92.603,4,25ZAibhr3bdlMCLmubZDVt,QUE PRETENDES,0.939
395,45,0.0249,Young Thug,0.784,200187,0.517,8,1.44E-06,4,0.155,-8.981,0,46,0.209,10958927,97.991,4,3s4mrPrEFFPF0LmAfutW0n,The London (feat. J. Cole & Travis Scott),0.206
396,46,0.217,Maluma,0.777,175733,0.712,8,0,10,0.091,-4.84,1,47,0.277,10612567,95.692,4,7KbF6AdprOXEEHlsq11Z6d,23:00:00,0.68
397,47,0.17,Miley Cyrus,0.53,233654,0.538,8,2.83E-06,5,0.248,-6.672,1,48,0.0335,10556260,148.051,4,44ADyYoY5liaRa3EOAl4uf,Slide Away,0.288
398,48,0.592,Ariana Grande,0.778,178627,0.317,8,0,1,0.0881,-10.732,0,49,0.334,10006817,140.048,4,6ocbgoVGwYJhOv1GgI9NsF,7 rings,0.327
399,49,0.13,Taylor Swift,0.756,223293,0.449,8,0,9,0.114,-8.746,1,50,0.0344,9957578,111.011,4,1SymEzIT3H8UZfibCs3TYi,Afterglow,0.399
400,0,0.0392,Shawn Mendes,0.759,190800,0.548,9,0,9,0.0828,-6.049,0,1,0.029,38036625,116.967,4,6v3KW9xbzN5yKLt9YKDYA2,Señorita,0.749
401,1,0.192,Post Malone,0.695,215280,0.762,9,0.00244,0,0.0863,-3.497,1,2,0.0395,31127024,120.042,4,21jGcNKet2qwijlDFuPiPb,Circles,0.553
402,2,0.688,Tones And I,0.825,209755,0.593,9,0.000161,6,0.17,-6.401,0,3,0.0988,30982039,98.078,4,1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,0.54
