Month,id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo
4,6Qs4SXO9dwPj5GKvVOv8Ki,24,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
4,1wJRveJZLSb1rjhnUHQiv6,25,0.0153,0.581,189487,0.662,0.000000,9,0.111,-5.239,1,0.303,4,0.434,93.023
4,5p7ujcrUXASCNwRaWNHR1C,26,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
4,7COXchtUOMd6uIT6HvmRaI,27,0.176,0.599,162583,0.733,0.000000,11,0.242,-7.058,1,0.203,4,0.534,102.211
4,2qxmye6gAegTMjLKEBoR3d,28,0.74,0.652,169354,0.557,0.000000,1,0.124,-5.714,0,0.0318,4,0.483,150.073
4,7uH27oIt4a6cIFCA8ZPcyG,29,0.0361,0.816,158400,0.754,0.000000,11,0.217,-2.75,0,0.111,4,0.533,99.966
4,4kV4N9D1iKVxx1KLvtTpjS,30,0.0421,0.726,190440,0.554,0.000000,5,0.106,-5.29,0,0.0917,4,0.335,169.999
4,35RDmXJ59YYGNlv1KfTGsP,31,0.00413,0.507,211267,0.644,0.000000,4,0.217,-7.485,1,0.0641,4,0.172,179.913
4,2JvzF1RMd7lE3KmFlsyZD8,32,0.149,0.837,213594,0.364,0.000000,8,0.271,-11.713,1,0.276,4,0.463,123.984
4,4lzxJ4jCuFDXXGkE1LmpKR,33,0.391,0.857,267500,0.647,0.000001,11,0.0842,-4.152,0,0.0984,4,0.553,95.982
4,3e9HZxeyfWwjeyPAMmWSSQ,34,0.229,0.717,207320,0.653,0.000000,1,0.101,-5.634,1,0.0658,4,0.412,106.966
